10000, 100, 2
1, 0, 0.000000
2, 2494, 0.249400
3, 0, 0.000000
4, 1366, 0.136600
5, 0, 0.000000
6, 1012, 0.101200
7, 0, 0.000000
8, 750, 0.075000
9, 0, 0.000000
10, 620, 0.062000
11, 0, 0.000000
12, 499, 0.049900
13, 0, 0.000000
14, 427, 0.042700
15, 0, 0.000000
16, 354, 0.035400
17, 0, 0.000000
18, 344, 0.034400
19, 0, 0.000000
20, 312, 0.031200
21, 0, 0.000000
22, 285, 0.028500
23, 0, 0.000000
24, 245, 0.024500
25, 0, 0.000000
26, 221, 0.022100
27, 0, 0.000000
28, 215, 0.021500
29, 0, 0.000000
30, 208, 0.020800
31, 0, 0.000000
32, 202, 0.020200
33, 0, 0.000000
34, 175, 0.017500
35, 0, 0.000000
36, 178, 0.017800
37, 0, 0.000000
38, 155, 0.015500
39, 0, 0.000000
40, 152, 0.015200
41, 0, 0.000000
42, 157, 0.015700
43, 0, 0.000000
44, 174, 0.017400
45, 0, 0.000000
46, 146, 0.014600
47, 0, 0.000000
48, 139, 0.013900
49, 0, 0.000000
50, 141, 0.014100
51, 0, 0.000000
52, 102, 0.010200
53, 0, 0.000000
54, 101, 0.010100
55, 0, 0.000000
56, 114, 0.011400
57, 0, 0.000000
58, 97, 0.009700
59, 0, 0.000000
60, 118, 0.011800
61, 0, 0.000000
62, 131, 0.013100
63, 0, 0.000000
64, 91, 0.009100
65, 0, 0.000000
66, 100, 0.010000
67, 0, 0.000000
68, 106, 0.010600
69, 0, 0.000000
70, 96, 0.009600
71, 0, 0.000000
72, 86, 0.008600
73, 0, 0.000000
74, 83, 0.008300
75, 0, 0.000000
76, 91, 0.009100
77, 0, 0.000000
78, 78, 0.007800
79, 0, 0.000000
80, 84, 0.008400
81, 0, 0.000000
82, 81, 0.008100
83, 0, 0.000000
84, 82, 0.008200
85, 0, 0.000000
86, 81, 0.008100
87, 0, 0.000000
88, 63, 0.006300
89, 0, 0.000000
90, 70, 0.007000
91, 0, 0.000000
92, 63, 0.006300
93, 0, 0.000000
94, 68, 0.006800
95, 0, 0.000000
96, 71, 0.007100
97, 0, 0.000000
98, 71, 0.007100
99, 0, 0.000000
100, 58, 0.005800
