2900	1158
2901	1163
2902	1167
2903	1171
2904	1178
2905	1188
2906	1200
2907	1214
2908	1233
2909	1256
2910	1281
2911	1303
2912	1320
2913	1335
2914	1351
2915	1368
2916	1386
2917	1402
2918	1417
2919	1432
2920	1449
2921	1469
2922	1490
2923	1511
2924	1531
2925	1551
2926	1572
2927	1597
2928	1623
2929	1647
2930	1666
2931	1684
2932	1704
2933	1728
2934	1753
2935	1778
2936	1800
2937	1819
2938	1838
2939	1856
2940	1873
2941	1888
2942	1901
2943	1915
2944	1937
2945	1969
2946	2006
2947	2045
2948	2081
2949	2118
2950	2158
2951	2207
2952	2265
2953	2329
2954	2389
2955	2437
2956	2472
2957	2501
2958	2532
2959	2569
2960	2612
2961	2656
2962	2692
2963	2713
2964	2712
2965	2687
2966	2641
2967	2575
2968	2496
2969	2409
2970	2328
2971	2263
2972	2218
2973	2185
2974	2149
2975	2096
2976	2021
2977	1930
2978	1838
2979	1762
2980	1715
2981	1696
2982	1697
2983	1701
2984	1692
2985	1659
2986	1601
2987	1525
2988	1442
2989	1358
2990	1277
2991	1206
2992	1194
2993	1458
2994	2664
2995	6190
2996	13605
2997	24698
2998	35560
2999	40123
3000	35340
3001	24264
3002	12980
3003	5409
3004	1755
3005	443
3006	87
3007	13
3008	2
3009	0
3010	0
